New column 0,New column 1,New column 2
Kiran lakhera,Reviewed in India on 15 May 2023,प्रिंटर बहुत ही बेकार है 15 दिन के अंदर ही खराब हो गया
Robin,Reviewed in India on 5 January 2023, This printer processor is very slow and last time use printer hp deskjet 2131 is good for performance
Rohith,Reviewed in India on 23 March 2023,Super
Vishnu,Reviewed in India on 10 May 2021,"After 3 months of usage , an writing this review , sometime the pages we print are not printed in correct manner on A4 papper , sometimes the alignment is not correct while printed in A4 , and some time a small portion is sliced off at bottom or edges while printing. Scanning is fine, Overall an average printer, okay with it but not the best one in my opinion , for the price which i bought it is doing my needs and iam okay with it."
Sachin Singam,Reviewed in India on 12 October 2022,Good
Kwality Stores Supply Agency,Reviewed in India on 5 March 2023, Using the printer to print docs but the roller is not taking the paper only from the input tray. It was taking the complete stack previously which then reduced to 2 sheets and now it's not even taking 2 sheets or 1 sheet. Issue is that no troubleshooting also helps. And HP Smart app says printer is out of paper. The tech support is very poor.
Saumendra Nath Banerjee,Reviewed in India on 4 September 2022,"Economic, user friendly, and sober item. Not so robust. Print quality satisfactory. Installation very simple. Recommended."
Poco,Reviewed in India on 30 December 2022,"I was really impressed with the packaging, very neat and clean, foam and thermocol safety padding given inside the box. No damages, easy to install and work with. The print quality is good, I tried with different types of paper. The print quality will depend on the quality of paper used."
SANJAY KUMAR GOEL,Reviewed in India on 23 April 2023,"Purchase above printer. Auto paper feeding not working. Raise complaint. People asking PIN without coming.

Will not suggest anyone to buy printer / laptop from Amazon"
saravanan,Reviewed in India on 28 September 2022,"Nice, simply superb... Money worth purchase.."
ASHIS BISWAS,Reviewed in India on 29 March 2023,"The item is not working properly. Scanning part is ok. But printer portion malfunctioning. In colour mode print page is without black printing. Moreover Black & White printing is not producing, only a white page is comming from the printer."
Sanjeev,Reviewed in India on 14 October 2022,I was having multiple paper pulling issue the day i bought it i called hp team they told me a few steps to reset it and it started working correctly and if i would be having that problem still after the reset they were ready to send a technical support agent on same day. I think amazon should also learn from hp and should improve their after sales service as its really worst. Never buy amazon basics electronic products.
Manav beniwal,Reviewed in India on 28 March 2022,"I bought this product exactly 3 months back on 27th December and been using it since then. I had refill the cartridges thrice already even though I hadn't even print 300 pages till now. It is written that the cartridge can be refilled but in reality the printer don't accept refilled cartridges be it black or colour. First printer and it's worst home printer.
I had tried contacting customer support but what they say is just buy new cartridge.
It's cheating to say that each cartridge can print 200 pages but I had already refilled 3 times and haven't even printed more than 300 pages yet. And now it's not accepting a refilled cartridge . DON'T BUY THIS PRODUCT. It's a review after the product has been used for 3 months.
Edit- It had been 6+ months while I'm using this printer. Do not buy this printer, to be precise I got a fresh cartridge of both colour and black ink, printed only 61 black and white prints and only 3 color prints, black ink cartridge is empty and color is half empty, last color cartridge also finished with just 4 color prints.
Can't refill, can't keep spending money on useless cartridges.
DO NOT BUY. IT IS A CAUTION."
Gowtham Sudheer,Reviewed in India on 22 July 2022,"Don't buy this.buy next version .
This product inkjets are very difficult to get."
Badal Harit,Reviewed in India on 11 September 2022,Ink is the only issue but the printer and scanner is perfect.
Seema,Reviewed in India on 2 September 2022,Everything is good but the cartridge given with the box has less ink in it..
Rajesh,Reviewed in India on 2 October 2022,Quality products
Jimmy,Reviewed in India on 24 March 2022,"Decent printer.... easy to operate...print quality also okay...low upfront cost

BUT
1. Does not support MAC.... Windows only (did not check on Linux)
2. Ink consumption is high (even with saver settings)... 805 XL cartridge lasted approx for 150 pages !!"
VINOD NAYAK,Reviewed in India on 10 January 2023,Not working properly it delayed
Mihir Kumar Ghosh,Reviewed in India on 9 September 2022,Nothing in particular other than written already.
Anjaneya Vara Prasad Inavolu,Reviewed in India on 6 November 2021,"Cost of each paper printing is very high. Cartridge also not available from offline market. We need to order from online. Quality of printing is good. But main issue is quantity of printing papers is very low . For every 50 prints we need to change cartridge , who are having heavry printing work ,I would like to suggest don't take this ..."
Yoga,Reviewed in India on 27 May 2023,Very worst product
Abhinash,Reviewed in India on 24 July 2020,"Print quality is ok.. Not good for printing on smooth surfaces because ink does not dry. Not good for printing on both side u need to change paper manually. Color cartage gets over in 50 pages black and white in 65 print speed is slow 3 color paper per minute 5 back and white per minute. Scan takes 5 minutes.. But the thing is every function works it is all in one printer
If u refill it with fake turbo inks the printer finds it and the printer software shows there is no ink.. But it can print.."
jayaprakash,Reviewed in India on 28 February 2023,product is good i want change and buy wifi system printer
Shivam ojha,Reviewed in India on 20 April 2023,Esme cartrage ki ink khatam hone ke baad 1 se 2 baar agar refuiling karte he to cartrage kharab ho jata he
LikHa SelLo,Reviewed in India on 24 April 2023,"Bakwas Hai Don't Buy this..
Mera Already kharab hogya
Return ka date bhi khatam
Abh kya karoon😡"
